,predictor,f-score,mcc,roc_auc,pr_auc
0,ispred,0.19620456738501124,0.13129061662925473,0.66,0.135
1,sppider,0.12158250241235125,0.050469766759336274,0.644,0.116
2,dockpred,0.17368928916050175,0.10690501537540002,0.671,0.15
3,logisticregresion,0.16629141202959152,0.09889260353484776,0.677,0.134
4,linearregression,0.16950788034737854,0.10237626085682701,0.679,0.135
5,randomforest,0.1428111933097459,0.07346190508439929,0.636,0.12
6,xgboost,0.15471212608555807,0.08635143717572248,0.678,0.127
